166,مشکین‌شهر
167,مشکین‌شهر
161,مغان
162,مغان
686,نمین
603,نیر
619,آران و بیدگل
118,اردستان
127,اصفهان
128,اصفهان
129,اصفهان
620,باغ بهادران
621,بوئین میاندشت
549,تیران و کرون
564,جرقویه
575,چادگان
113,خمینی‌شهر
114,خمینی‌شهر
122,خوانسار
540,خور و بیابانک
660,دولت‌آباد
120,سمیرم
512,سمیرم سفلی
510,شاهین‌شهر
511,شاهین‌شهر
119,شهرضا
115,فریدن
112,فریدون‌شهر
110,فلاورجان
111,فلاورجان
125,کاشان
126,کاشان
565,کوهپایه
121,گلپایگان
116,لنجان (زرین‌شهر)
117,لنجان (زرین‌شهر)
541,مبارکه
622,میمه
124,نائین
108,نجف‌آباد
109,نجف‌آباد
123,نطنز
427,زنجان
428,زنجان
507,ملکان
158,مرند
615,ابهر
152,میانه
153,میانه
